Unnamed: 0,Title,Author,Year,Subjects,Filename,Total Number Words,Two Most Common Words,Ratio of Unique and Total Words
57,Uncle Tom's Cabin,Stowe Harriet Beecher ,1811-1896,"['Slavery -- Fiction', 'Didactic fiction', 'Political fiction', 'Master and servant -- Fiction', 'African Americans -- Fiction', 'Southern States -- Fiction', 'Fugitive slaves -- Fiction', 'Plantation life -- Fiction', 'Uncle Tom (Fictitious character) -- Fiction', 'Slaves -- Fiction']",./books/uncle-toms-cabin-stowe-harriet-beecher.txt,191734,"['the', 'and']",0.0634420603544494
58,Leviathan,Hobbes Thomas ,1588-1679,"['Political science -- Early works to 1800', 'State, The -- Early works to 1800']",./books/leviathan-hobbes-thomas.txt,217595,"['the', 'of']",0.045805280452216275
59,Ethan Frome,Wharton Edith ,1862-1937,"['Domestic fiction', 'New England -- Fiction', 'Married people -- Fiction', 'Triangles (Interpersonal relations) -- Fiction', 'Accident victims -- Fiction', 'Rural poor -- Fiction']",./books/ethan-frome-wharton-edith.txt,39038,"['the', 'and']",0.12513448434858343
60,The OdysseyRendered into English prose for the use of those who cannot read the original,Homer  BCE BCEButler Samuel ,750-650,"['Homer -- Translations into English', 'Epic poetry, Greek -- Translations into English', 'Odysseus, King of Ithaca (Mythological character)']",./books/the-odysseyrendered-into-english-prose-for-the-use-of-those-who-cannot-read-the-original-homer--bce-bcebutler-samuel.txt,133902,"['the', 'and']",0.059633164553180684
61,The Iliad,Buckley Theodore Alois Homer  BCE BCEPope Alexander ,1825-750,"['Classical literature', 'Epic poetry, Greek -- Translations into English', 'Achilles (Mythological character) -- Poetry', 'Trojan War -- Poetry']",./books/the-iliad-buckley-theodore-alois-homer--bce-bcepope-alexander.txt,200396,"['the', 'and']",0.06705223657158825
62,The Time Machine,Wells H G Herbert George ,1866-1946,"['Science fiction', 'Time travel -- Fiction', 'Dystopias -- Fiction']",./books/the-time-machine-wells-h-g-herbert-george.txt,36170,"['the', 'and']",0.13831904893558197
63,"The Slang Dictionary: Etymological, Historical and Andecdotal",Hotten John Camden ,1832-1873,"['English language -- England -- London -- Slang -- Dictionaries', 'English language -- Dialects -- England -- London -- Glossaries, vocabularies, etc.', 'London (England) -- Languages -- Dictionaries']",./books/the-slang-dictionary-etymological-historical-and-andecdotal-hotten-john-camden.txt,168328,"['the', 'a']",0.10918563756475452
64,The Jungle,Sinclair Upton ,1878-1968,"['Meat industry and trade -- Fiction', 'Working class -- Fiction', 'Political fiction', 'Lithuanian Americans -- Fiction', 'Stockyards -- Fiction', 'Immigrants -- Fiction', 'Chicago (Ill.) -- Fiction']",./books/the-jungle-sinclair-upton.txt,155752,"['the', 'and']",0.06577122605167189
65,The Secret Garden,Burnett Frances Hodgson ,1849-1924,"['Orphans -- Fiction', 'People with disabilities -- Fiction', 'Gardens -- Fiction', 'Yorkshire (England) -- Fiction']",./books/the-secret-garden-burnett-frances-hodgson.txt,86418,"['and', 'the']",0.06099423731167118
66,"Twenty-Seven Drawings by William BlakeBeing Illustrations for Paradise Lost, Comus, and the Bible",Blake William Smalley Carl J,1757,"['Bible -- Illustrations', 'Milton, John, 1608-1674. Paradise lost -- Illustrations', 'Milton, John, 1608-1674. Comus -- Illustrations']",./books/twentyseven-drawings-by-william-blakebeing-illustrations-for-paradise-lost-comus-and-the-bible-blake-william-smalley-carl-.txt,3913,"['the', 'of']",0.23128034755941732
67,Don Quixote,Cervantes Saavedra Miguel de Ormsby John ,1547-1829,"['Spain -- Social life and customs -- 16th century -- Fiction', 'Knights and knighthood -- Spain -- Fiction', 'Picaresque literature', 'Romances']",./books/don-quixote-cervantes-saavedra-miguel-de-ormsby-john.txt,435439,"['the', 'and']",0.03776418740627275
